006cf1ec-d5e5-4dc8-a5e5-3e34ee526c92	what do you want for dinner a hamburger or peanut butter and jelly sandwich 	1	what do you want for dinner	a hamburger or peanut butter and jelly sandwich	2020-02-04 00:11:59
008635c8-91b5-4be4-8f1d-7eb4c27c8443	what is your favorite color red green or maybe blue 	1	what is your favorite color	red green or maybe blue	2020-01-18 19:50:38
00c7d517-1172-4c8c-a808-46da3c5a521e	would you like to watch american football at 5 pm or 10 pm 	1	would you like to watch	american football at 5 pm or 10 pm	2020-01-18 19:45:04
00d8b091-34ae-48e4-adaa-575b89a4bcc1	would you rather have hot dogs hamburgers or pizza for lunch	1	would you rather	have hot dogs hamburgers or pizza for lunch	2020-02-17 19:12:08
01d9e14c-81ee-429f-a357-b27a3758a325	what do you want for breakfast pancakes or waffles	1	what do you want for breakfast	pancakes or waffles	2019-11-20 14:14:57
021614e9-2fc9-4673-9242-85b8c09e4b58	what do you want for dinner pizza or pasta 	1	what do you want for dinner	pizza or pasta	2020-02-10 19:33:43
025fd24c-1c49-473d-9aeb-19bd91f69877	what do you want to drink a beer or scotch	1	what do you want	to drink a beer or scotch	2019-11-19 19:05:18
028d7425-8a14-48fe-a934-6480e32af411	is this about a dog a cat or rabbit 	1	""	is this about a dog a cat or rabbit	2020-01-30 20:27:43
0300fb9a-d83d-4145-b99d-89ae0f91cc61	what would you like for lunch pizza or pasta	1	what would you like for lunch	pizza or pasta	2020-02-09 18:03:05
03757844-c1d7-4bf2-a72a-c2976ca1a3b4	what do you want to do after school play video games or paint	1	what do you want to do	after school play video games or paint	2020-02-17 19:22:35
03e001f9-8c23-41c9-bb95-2042236257b0	who is your favorite sibling your brother or sister 	1	""	who is your favorite sibling your brother or sister	2020-01-18 20:11:21
03f0eee0-b3c9-40b9-812d-22070917ffd2	do you want milk or coffee 	1	do you want	milk or coffee	2020-02-05 14:06:26
03f9d22c-6bd5-40b2-864e-56d6995f21d6	are you sleepy or angry 	1	are you	sleepy or angry	2020-02-16 18:10:34
0401e613-e281-43f7-a447-0f15d17c7aa0	how do you like your haircut short or long	1	how do you like your haircut	short or long	2019-11-20 14:44:00
043d512c-6eb3-44e1-8294-06bf60b5ec2b	do you want a milkshake soda or juice 	1	do you want	a milkshake soda or juice	2020-02-12 22:18:24
049a9b23-2330-4231-82cf-6592e914c5f9	what do you want for dinner pizza or pasta 	1	what do you want for dinner	pizza or pasta	2020-02-08 17:45:06
